Anzahl;Algorithmus;maxTeilsumme;Index1;Index2;Summe aller Zugriffe;Zeit (inkl. Zählen);Zeit (exkl. Zählen);Matrix-Zugriffe
1000;maxteilsumme3;1157;3;257;167167000;110;98;
1000;maxteilsumme2;1157;3;257;501500;23;19;1001000
1000;maxteilsummeRekursiv;1157;3;257;19953;4;2;
1000;maxteilsumme1;1157;3;257;1000;0;0;
2000;maxteilsumme3;3093;1202;1706;1335334000;726;658;
2000;maxteilsumme2;3093;1202;1706;2003000;33;30;4002000
2000;maxteilsummeRekursiv;3093;1202;1706;63858;0;0;
2000;maxteilsumme1;3093;1202;1706;2000;0;0;
3000;maxteilsumme3;2743;903;1471;209533704;2076;2042;
3000;maxteilsumme2;2743;903;1471;4504500;17;15;9003000
3000;maxteilsummeRekursiv;2743;903;1471;133667;0;0;
3000;maxteilsumme1;2743;903;1471;3000;0;0;
4000;maxteilsumme3;5044;48;3783;2084733408;4846;4793;
4000;maxteilsumme2;5044;48;3783;8006000;30;26;16004000
4000;maxteilsummeRekursiv;5044;48;3783;229476;0;0;
4000;maxteilsumme1;5044;48;3783;4000;0;0;
5000;maxteilsumme3;3317;4523;4811;-629001480;9391;9284;
5000;maxteilsumme2;3317;4523;4811;12507500;46;41;25005000
5000;maxteilsummeRekursiv;3317;4523;4811;353093;0;0;
5000;maxteilsumme1;3317;4523;4811;5000;1;0;
6000;maxteilsumme3;6384;721;5303;1658263632;16146;15984;
6000;maxteilsumme2;6384;721;5303;18009000;67;58;36006000
6000;maxteilsummeRekursiv;6384;721;5303;504710;1;0;
6000;maxteilsumme1;6384;721;5303;6000;0;0;
7000;maxteilsumme3;9367;2672;6772;1356594152;25542;25361;
7000;maxteilsumme2;9367;2672;6772;24510500;92;79;49007000
7000;maxteilsummeRekursiv;9367;2672;6772;684327;1;0;
7000;maxteilsumme1;9367;2672;6772;7000;0;0;
8000;maxteilsumme3;7213;1743;7545;-534009920;37992;37680;
8000;maxteilsumme2;7213;1743;7545;32012000;118;102;64008000
8000;maxteilsummeRekursiv;7213;1743;7545;891944;1;0;
8000;maxteilsumme1;7213;1743;7545;8000;0;0;
9000;maxteilsumme3;5319;2557;4047;1281418712;53902;53562;
9000;maxteilsumme2;5319;2557;4047;40513500;149;128;81009000
9000;maxteilsummeRekursiv;5319;2557;4047;1129177;1;0;
9000;maxteilsumme1;5319;2557;4047;9000;0;0;
10000;maxteilsumme3;9081;3833;5812;-787054544;73716;73422;
10000;maxteilsumme2;9081;3833;5812;50015000;182;159;100010000
10000;maxteilsummeRekursiv;9081;3833;5812;1396410;1;0;
10000;maxteilsumme1;9081;3833;5812;10000;0;0;
